month,town,resale_price
2024-04-01,TAMPINES,646320.5294117647
2024-04-01,WOODLANDS,581860.7277227723
2024-05-01,BUKIT MERAH,709208.0208333334
2024-05-01,CENTRAL AREA,830978.8181818182
2024-05-01,JURONG WEST,524582.3818181818
2024-05-01,TAMPINES,640232.0957446808
2024-05-01,WOODLANDS,567765.2662721893
2024-06-01,BUKIT MERAH,751879.0117647059
2024-06-01,CENTRAL AREA,714625.6842105263
2024-06-01,JURONG WEST,530256.992481203
2024-06-01,TAMPINES,655906.45625
2024-06-01,WOODLANDS,591260.3939393939
2024-07-01,BUKIT MERAH,756650.9906542056
2024-07-01,CENTRAL AREA,680394.4
2024-07-01,JURONG WEST,515969.5221238938
2024-07-01,TAMPINES,641863.6567164179
2024-07-01,WOODLANDS,580398.4915254237
2024-08-01,BUKIT MERAH,725729.6
2024-08-01,CENTRAL AREA,811250.0
2024-08-01,JURONG WEST,547324.4857142858
2024-08-01,TAMPINES,654080.2696629213
2024-08-01,WOODLANDS,589171.4651162791
2024-09-01,BUKIT MERAH,744257.0769230769
2024-09-01,CENTRAL AREA,818555.4285714285
2024-09-01,JURONG WEST,546613.729032258
2024-09-01,TAMPINES,670412.0610687023
2024-09-01,WOODLANDS,613147.8666666667
2024-10-01,BUKIT MERAH,688229.6790123457
2024-10-01,CENTRAL AREA,990989.8181818182
2024-10-01,JURONG WEST,541703.2492682927
2024-10-01,TAMPINES,680977.7806451613
2024-10-01,WOODLANDS,592126.2921348314
2024-11-01,BUKIT MERAH,672376.4444444445
2024-11-01,CENTRAL AREA,1088697.142857143
2024-11-01,JURONG WEST,564533.7642424242
2024-11-01,TAMPINES,717468.1666666666
2024-11-01,WOODLANDS,590936.2953020134
2024-12-01,BUKIT MERAH,767274.2151898735
2024-12-01,CENTRAL AREA,889559.45
2024-12-01,JURONG WEST,560601.277027027
2024-12-01,TAMPINES,700534.6666666666
2024-12-01,WOODLANDS,605403.2576687117
